Account name,Site name,Transferable,Sandbox,Environment name,WP Site URL,Environment type (PRD/STG/DEV),Domain,PHP version,WP version,DB storage (GB),File storage (GB),Total storage (GB),Bandwidth 30 day avg (GB),Bandwidth 30 day sum (GB),Total Visits 30 day avg,Total Visits 30 day sum,Site Tags
everneu,Fleming Homes Legacy,false,false,fleminghomeleg,http://fleminghomeleg.wpenginepowered.com,PRD,fleminghomeleg.wpenginepowered.com,8.2,6.8.2,0.58407211,5.83848572,6.42255783,0.00303272,0.09401417,8,263,
everneu,hca-dallas,false,false,hcadallas,http://hcadallas.wpenginepowered.com,PRD,hcadallas.wpenginepowered.com,8.2,6.8.2,0.08225250,0.67736816,0.75962067,0.00620332,0.19230286,62,1943,
everneu,HCA Dallas Legacy,false,false,hcadallasledev,http://hcadallasledev.wpenginepowered.com,DEV,hcadallasledev.wpenginepowered.com,8.2,6.6.1,0.21548843,1.09830856,1.31379700,0.00000120,0.00003709,0,2,
everneu,HCA Dallas Legacy,false,false,hcadallaslegac,http://hcadallaslegac.wpenginepowered.com,PRD,hcadallaslegac.wpenginepowered.com,7.4,6.8.2,0.21522903,1.10583496,1.32106400,0.00004963,0.00153861,0,20,
everneu,HCA Dallas Legacy,false,false,hcadallaslestg,http://hcadallaslestg.wpenginepowered.com,STG,hcadallaslestg.wpenginepowered.com,8.2,6.7.1,0.21556473,1.10028076,1.31584549,0.00000120,0.00003714,0,2,
everneu,HCANM,false,false,hcanm,http://hcanm.wpenginepowered.com,PRD,hcanm.wpenginepowered.com,8.2,6.8.2,0.13361359,1.08985138,1.22346497,0.00031425,0.00974179,62,1922,
everneu,Helping Bulls (David Quick) Legacy,false,false,helpbullsleg,http://helpbullsleg.wpenginepowered.com,PRD,helpbullsleg.wpenginepowered.com,7.4,6.8.2,0.05374908,1.07827759,1.13202667,0.00069285,0.02147830,4,140,
everneu,Highmark Legacy,false,false,highmarkleg,http://highmarkleg.wpenginepowered.com,PRD,highmarkleg.wpenginepowered.com,8.2,6.8.2,0.21474838,1.00062943,1.21537781,0.00001306,0.00040485,0,4,
everneu,Home Care Assistance New Mexico,false,false,homecareassis1,http://homecareassis1.wpengine.com,PRD,homecareassis1.wpengine.com,8.2,6.4.3,0.11558914,0.97028732,1.08587646,0.01541095,0.47773932,0,14,
everneu,Jaguar Freight,false,false,jaguarfreight1,http://jaguarfreight1.wpengine.com,PRD,jaguarfreight1.wpengine.com,8.2,6.8.2,0.17409515,3.85578537,4.02988052,0.00007323,0.00227029,0,7,
